Comissão,Cargo,Vereador
"Comissão Constituição, Justiça e Redação",Presidente,NELSON GOMES FILHO
"Comissão Constituição, Justiça e Redação",Secretário,RODRIGO RAMOS VICTOR
"Comissão Constituição, Justiça e Redação",Membro,JOAO CRISOSTOMO MOREIRA DANTAS
Comissão de Agricultura e Pecuária,Presidente,JOSEILDO ALVES DOS SANTOS
Comissão de Agricultura e Pecuária,Secretário,RODOLFO RODRIGUES
Comissão de Agricultura e Pecuária,Membro,IVONETE ALMEIDA DE ANDRADE LUDGERIO
"Comissão de Ciência, Tecnologia, Inovação, Comunicação e Informática",Presidente,ANDERSON FILIPI MAIA DE MENEZES
"Comissão de Ciência, Tecnologia, Inovação, Comunicação e Informática",Secretário,GILVANI ANTONIO ARAGAO
"Comissão de Ciência, Tecnologia, Inovação, Comunicação e Informática",Membro,JOSE COSTA ARAGÃO JUNIOR
"Comissão de Defesa dos Direitos da Mulher, Idoso, da Criança e do Adolescente",Presidente,IVONETE ALMEIDA DE ANDRADE LUDGERIO
"Comissão de Defesa dos Direitos da Mulher, Idoso, da Criança e do Adolescente",Secretário,CASSIO MURILO GALDINO DE ARAUJO
"Comissão de Defesa dos Direitos da Mulher, Idoso, da Criança e do Adolescente",Membro,ALEXANDRE PEREIRA DA SILVA
"Comissão de Desenvolvimento Econômico, Indústria e Comércio",Presidente,CASSIO MURILO GALDINO DE ARAUJO
"Comissão de Desenvolvimento Econômico, Indústria e Comércio",Secretário,JOSÉ MARINALDO CARDOSO
"Comissão de Desenvolvimento Econômico, Indústria e Comércio",Membro,AFONSO ALEXANDRE REGIS CAVALCANTE
"Comissão de Direitos Humanos, Defesa do Consumidor, do Contribuinte e do Servidor Público",Presidente,NAPOLEÃO DE FARIAS MARACAJÁ
"Comissão de Direitos Humanos, Defesa do Consumidor, do Contribuinte e do Servidor Público",Secretário,MIGUEL RODRIGUES DA SILVA
"Comissão de Direitos Humanos, Defesa do Consumidor, do Contribuinte e do Servidor Público",Membro,RODRIGO RAMOS VICTOR
"Comissão de Educação, Esporte e Turismo",Presidente,MIGUEL RODRIGUES DA SILVA
"Comissão de Educação, Esporte e Turismo",Secretário,GILVANI ANTONIO ARAGAO
"Comissão de Educação, Esporte e Turismo",Membro,ANDERSON FILIPI MAIA DE MENEZES
"Comissão de Finanças, Orçamento, Fiscalização Financeira e Controle",Presidente,JOSÉ MARINALDO CARDOSO
"Comissão de Finanças, Orçamento, Fiscalização Financeira e Controle",Secretário,JOSEILDO ALVES DOS SANTOS
"Comissão de Finanças, Orçamento, Fiscalização Financeira e Controle",Membro,JOAO CRISOSTOMO MOREIRA DANTAS
Comissão de Meio Ambiente e Recursos Hídricos Convivência e Sustentabilidade do Semiárido,Presidente,JOSIMAR HENRIQUE DA SILVA
Comissão de Meio Ambiente e Recursos Hídricos Convivência e Sustentabilidade do Semiárido,Secretário,MIGUEL RODRIGUES DA SILVA
Comissão de Meio Ambiente e Recursos Hídricos Convivência e Sustentabilidade do Semiárido,Membro,IVAN OLIVEIRA BATISTA
"Comissão de Obras, Planejamento, Infraestrutura e Habitação",Presidente,CICERO RODRIGUES DA SILVA
"Comissão de Obras, Planejamento, Infraestrutura e Habitação",Secretário,JOSE COSTA ARAGÃO JUNIOR
"Comissão de Obras, Planejamento, Infraestrutura e Habitação",Membro,OLIMPIO OLIVEIRA
Comissão de Saúde e Bem Estar Social,Presidente,JOAO CRISOSTOMO MOREIRA DANTAS
Comissão de Saúde e Bem Estar Social,Secretário,IVAN OLIVEIRA BATISTA
Comissão de Saúde e Bem Estar Social,Membro,RODRIGO RAMOS VICTOR
"Comissão de Segurança Pública, Defesa Social e Prevenção as Drogas",Presidente,ALEXANDRE PEREIRA DA SILVA
"Comissão de Segurança Pública, Defesa Social e Prevenção as Drogas",Secretário,OLIMPIO OLIVEIRA
"Comissão de Segurança Pública, Defesa Social e Prevenção as Drogas",Membro,AFONSO ALEXANDRE REGIS CAVALCANTE
Comissão de Transporte e Mobilidade Urbana,Presidente,AFONSO ALEXANDRE REGIS CAVALCANTE
Comissão de Transporte e Mobilidade Urbana,Secretário,JOSÉ MARINALDO CARDOSO
Comissão de Transporte e Mobilidade Urbana,Membro,ANDERSON FILIPI MAIA DE MENEZES
